trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
628,False,"{'a': 0.05, 'e': 0.41594175372789605}",20,14,8.844206075668582,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.05, 'e': 0.414287628483751}",20,1,10.813499989227632,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
630,False,"{'a': 0.05, 'e': 0.4126321336941038}",20,8,-25.29649292522328,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
631,False,"{'a': 0.05, 'e': 0.4109752748316633}",25,14,21.07118780442011,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.05, 'e': 0.40931705737364704}",35,21,-7.923648671890315,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
633,False,"{'a': 0.05, 'e': 0.40765748680176445}",20,6,-20.95350294377477,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
634,False,"{'a': 0.05, 'e': 0.40599656860219735}",20,13,-10.58941596209407,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
635,False,"{'a': 0.05, 'e': 0.40433430826558336}",20,7,9.615839431779856,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
636,False,"{'a': 0.05, 'e': 0.4026707112869962}",25,0,-64.80263850985224,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
637,False,"{'a': 0.05, 'e': 0.40100578316592833}",30,0,-8.178136174686841,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
638,False,"{'a': 0.05, 'e': 0.3993395294062732}",20,0,5.535689988546004,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
639,False,"{'a': 0.05, 'e': 0.39767195551630585}",25,0,13.039466839680209,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
640,False,"{'a': 0.05, 'e': 0.3960030670086661}",20,0,-68.8035208390402,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
641,False,"{'a': 0.05, 'e': 0.3943328694003388}",25,0,-18.192734946934497,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
642,False,"{'a': 0.05, 'e': 0.39266136821263725}",25,6,16.667565433310983,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
643,False,"{'a': 0.05, 'e': 0.39098856897118334}",20,0,-42.78890028688157,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
644,False,"{'a': 0.05, 'e': 0.38931447720589074}",25,1,3.5185518128853976,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
